,cd,nr_publications,source
0,-1.0,4263,funk_pubmed
1,-0.96,1,funk_pubmed
2,-0.94,1,funk_pubmed
3,-0.91,1,funk_pubmed
4,-0.89,2,funk_pubmed
5,-0.88,4,funk_pubmed
6,-0.86,4,funk_pubmed
7,-0.83,21,funk_pubmed
8,-0.82,1,funk_pubmed
9,-0.81,1,funk_pubmed
10,-0.8,57,funk_pubmed
11,-0.79,1,funk_pubmed
12,-0.78,4,funk_pubmed
13,-0.77,1,funk_pubmed
14,-0.75,214,funk_pubmed
15,-0.74,1,funk_pubmed
16,-0.73,5,funk_pubmed
17,-0.71,22,funk_pubmed
18,-0.7,5,funk_pubmed
19,-0.68,1,funk_pubmed
20,-0.67,828,funk_pubmed
21,-0.65,3,funk_pubmed
22,-0.64,4,funk_pubmed
23,-0.63,45,funk_pubmed
24,-0.62,4,funk_pubmed
25,-0.61,1,funk_pubmed
26,-0.6,276,funk_pubmed
27,-0.59,2,funk_pubmed
28,-0.58,13,funk_pubmed
29,-0.57,100,funk_pubmed
30,-0.56,47,funk_pubmed
31,-0.55,25,funk_pubmed
32,-0.54,15,funk_pubmed
33,-0.53,10,funk_pubmed
34,-0.52,4,funk_pubmed
35,-0.5,4729,funk_pubmed
36,-0.49,2,funk_pubmed
37,-0.48,11,funk_pubmed
38,-0.47,33,funk_pubmed
39,-0.46,35,funk_pubmed
40,-0.45,71,funk_pubmed
41,-0.44,190,funk_pubmed
42,-0.43,372,funk_pubmed
43,-0.42,109,funk_pubmed
44,-0.41,55,funk_pubmed
45,-0.4,1164,funk_pubmed
46,-0.39,41,funk_pubmed
47,-0.38,504,funk_pubmed
48,-0.37,48,funk_pubmed
49,-0.36,255,funk_pubmed
50,-0.35,117,funk_pubmed
51,-0.34,30,funk_pubmed
52,-0.33,5178,funk_pubmed
53,-0.32,155,funk_pubmed
54,-0.31,330,funk_pubmed
55,-0.3,547,funk_pubmed
56,-0.29,1439,funk_pubmed
57,-0.28,234,funk_pubmed
58,-0.27,830,funk_pubmed
59,-0.26,357,funk_pubmed
60,-0.25,5488,funk_pubmed
61,-0.24,612,funk_pubmed
62,-0.23,908,funk_pubmed
63,-0.22,1652,funk_pubmed
64,-0.21,1242,funk_pubmed
65,-0.2,5532,funk_pubmed
66,-0.19,1532,funk_pubmed
67,-0.18,2562,funk_pubmed
68,-0.17,6243,funk_pubmed
69,-0.16,2036,funk_pubmed
70,-0.15,3506,funk_pubmed
71,-0.14,7466,funk_pubmed
72,-0.13,9157,funk_pubmed
73,-0.12,5066,funk_pubmed
74,-0.11,10440,funk_pubmed
75,-0.1,11506,funk_pubmed
76,-0.09,13273,funk_pubmed
77,-0.08,19180,funk_pubmed
78,-0.07,22832,funk_pubmed
79,-0.06,32004,funk_pubmed
80,-0.05,43470,funk_pubmed
81,-0.04,64211,funk_pubmed
82,-0.03,105136,funk_pubmed
83,-0.02,190091,funk_pubmed
84,-0.01,469434,funk_pubmed
85,-0.0,1041531,funk_pubmed
86,0.01,63626,funk_pubmed
87,0.02,27680,funk_pubmed
88,0.03,18088,funk_pubmed
89,0.04,12071,funk_pubmed
90,0.05,9417,funk_pubmed
91,0.06,8111,funk_pubmed
92,0.07,6292,funk_pubmed
93,0.08,6146,funk_pubmed
94,0.09,3877,funk_pubmed
95,0.1,3997,funk_pubmed
96,0.11,4253,funk_pubmed
97,0.12,1191,funk_pubmed
98,0.13,4366,funk_pubmed
99,0.14,4093,funk_pubmed
100,0.15,1152,funk_pubmed
101,0.16,485,funk_pubmed
102,0.17,4201,funk_pubmed
103,0.18,1164,funk_pubmed
104,0.19,545,funk_pubmed
105,0.2,4546,funk_pubmed
106,0.21,527,funk_pubmed
107,0.22,998,funk_pubmed
108,0.23,388,funk_pubmed
109,0.24,249,funk_pubmed
110,0.25,5062,funk_pubmed
111,0.26,154,funk_pubmed
112,0.27,502,funk_pubmed
113,0.28,117,funk_pubmed
114,0.29,1192,funk_pubmed
115,0.3,397,funk_pubmed
116,0.31,255,funk_pubmed
117,0.32,111,funk_pubmed
118,0.33,6015,funk_pubmed
119,0.34,25,funk_pubmed
120,0.35,109,funk_pubmed
121,0.36,247,funk_pubmed
122,0.37,47,funk_pubmed
123,0.38,494,funk_pubmed
124,0.39,47,funk_pubmed
125,0.4,1293,funk_pubmed
126,0.41,53,funk_pubmed
127,0.42,111,funk_pubmed
128,0.43,493,funk_pubmed
129,0.44,233,funk_pubmed
130,0.45,115,funk_pubmed
131,0.46,61,funk_pubmed
132,0.47,53,funk_pubmed
133,0.48,26,funk_pubmed
134,0.49,3,funk_pubmed
135,0.5,7283,funk_pubmed
136,0.51,8,funk_pubmed
137,0.52,13,funk_pubmed
138,0.53,34,funk_pubmed
139,0.54,48,funk_pubmed
140,0.55,65,funk_pubmed
141,0.56,149,funk_pubmed
142,0.57,193,funk_pubmed
143,0.58,42,funk_pubmed
144,0.59,19,funk_pubmed
145,0.6,556,funk_pubmed
146,0.61,16,funk_pubmed
147,0.62,35,funk_pubmed
148,0.63,127,funk_pubmed
149,0.64,43,funk_pubmed
150,0.65,16,funk_pubmed
151,0.66,2,funk_pubmed
152,0.67,1753,funk_pubmed
153,0.68,6,funk_pubmed
154,0.69,17,funk_pubmed
155,0.7,37,funk_pubmed
156,0.71,129,funk_pubmed
157,0.72,6,funk_pubmed
158,0.73,19,funk_pubmed
159,0.74,6,funk_pubmed
160,0.75,624,funk_pubmed
161,0.76,12,funk_pubmed
162,0.77,12,funk_pubmed
163,0.78,41,funk_pubmed
